시도명,시군구명, 사업장 수(1종) , 사업장 수(2종) , 사업장 수(3종) , 배출구 수(1종) , 배출구 수(2종) , 배출구 수(3종) , 방지시설 수(1종) , 방지시설 수(2종) , 방지시설 수(3종) , 배출시설 수(1종) , 배출시설 수(2종) , 배출시설 수(3종) 
강원도,강릉시,4,1,6,219,1,21,243,4,41,220,4,44
강원도,고성군,1,0,3,1,0,27,3,0,12,1,0,47
강원도,동해시,4,2,1,180,52,1,204,40,1,247,96,1
강원도,삼척시,3,1,4,296,14,17,301,14,18,355,29,27
강원도,속초시,1,0,0,1,0,0,3,0,0,1,0,0
강원도,양구군,1,0,1,2,0,4,4,0,4,2,0,4
강원도,양양군,1,0,3,1,0,19,3,0,16,1,0,22
강원도,영월군,8,4,3,196,18,15,237,23,25,378,39,67
강원도,원주시,4,6,13,129,75,119,109,80,119,262,164,263
강원도,인제군,1,0,2,1,0,4,4,0,6,1,0,6
강원도,정선군,4,3,5,57,9,167,64,11,180,129,16,218
강원도,철원군,1,3,1,1,8,20,2,12,23,1,17,60
강원도,춘천시,2,0,4,5,0,45,23,0,55,5,0,68
강원도,태백시,1,2,0,1,4,0,5,7,0,2,5,0
강원도,평창군,1,1,1,26,109,2,32,75,2,65,852,7
강원도,홍천군,3,1,3,24,102,16,30,104,28,34,105,35
강원도,화천군,1,1,0,2,3,0,7,5,0,2,5,0
강원도,횡성군,1,4,7,1,88,71,4,101,102,1,118,133
경기도,가평군,2,0,0,18,0,0,21,0,0,38,0,0
경기도,고양시 덕양구,3,0,2,16,0,44,23,0,47,19,0,48
경기도,고양시 일산동구,2,1,1,27,1,15,14,1,6,27,1,20
경기도,과천시,1,0,0,6,0,0,7,0,0,6,0,0
경기도,광명시,3,0,1,114,0,1,68,0,1,131,0,5
경기도,광주시,4,2,2,17,16,15,25,18,22,32,21,35
경기도,구리시,2,0,1,12,0,9,22,0,9,18,0,9
경기도,군포시,2,2,0,80,55,0,37,21,0,232,115,0
경기도,김포시,3,1,18,22,25,120,32,16,127,52,58,293
경기도,남양주시,3,0,0,16,0,0,21,0,0,30,0,0
경기도,동두천시,3,4,6,10,22,23,32,30,28,10,28,49
경기도,부천시 오정구,4,3,0,60,27,0,56,30,0,69,125,0
경기도,부천시 원미구,0,1,0,0,159,0,0,252,0,0,1012,0
경기도,성남시 분당구,3,0,2,98,0,6,34,0,3,30,0,10
경기도,성남시 수정구,0,0,2,0,0,6,0,0,0,0,0,7
경기도,성남시 중원구,1,1,5,8,88,60,16,13,53,8,88,298
경기도,수원시 영통구,5,1,2,45,37,28,44,33,25,115,648,170
경기도,수원시 장안구,1,2,0,103,10,0,24,28,0,104,28,0
경기도,수원시 팔달구,1,0,0,1,0,0,20,0,0,57,0,0
경기도,시흥시,12,12,29,287,357,223,267,318,233,897,894,994
경기도,안산시 단원구,33,39,90,447,495,772,532,525,830,1802,4049,7296
경기도,안산시 상록구,1,1,0,34,18,0,46,10,0,91,22,0
경기도,안성시,8,8,20,197,127,317,153,98,290,285,200,1071
경기도,안양시 동안구,2,3,0,16,36,0,10,34,0,16,142,0
경기도,안양시 만안구,3,1,2,27,4,10,34,4,12,65,4,15
경기도,양주시,15,6,15,59,33,134,109,51,142,86,54,403
경기도,양평군,1,0,0,1,0,0,6,0,0,3,0,0
경기도,여주시,7,4,10,188,51,68,233,60,70,358,173,128
경기도,연천군,9,2,5,33,6,19,73,14,34,46,6,42
경기도,오산시,4,3,2,16,105,10,31,114,12,16,357,28
경기도,용인시 기흥구,4,1,4,163,14,45,206,13,65,1314,86,327
경기도,용인시 수지구,2,0,0,6,0,0,13,0,0,7,0,0
경기도,용인시 처인구,6,4,4,51,117,59,66,227,52,70,293,206
경기도,의왕시,1,1,2,15,19,5,18,14,9,30,33,19
경기도,의정부시,1,0,1,2,0,12,6,0,0,2,0,12
경기도,이천시,10,4,2,426,79,37,475,59,22,965,115,36
경기도,파주시,10,5,12,158,28,66,268,32,66,757,272,1022
경기도,평택시,24,17,31,1080,413,492,1194,415,343,9857,1988,2135
경기도,포천시,17,5,10,96,23,60,150,39,35,126,25,64
경기도,하남시,3,0,0,8,0,0,14,0,0,16,0,0
경기도,화성시,19,8,33,832,223,378,1106,205,425,4479,539,2243
경상남도,거제시,7,1,5,299,3,44,408,4,30,425,3,56
경상남도,거창군,2,0,1,7,0,1,11,0,3,9,0,4
경상남도,고성군,8,5,4,158,29,35,199,39,52,194,28,58
경상남도,김해시,14,34,68,116,352,512,136,410,455,224,572,1044
경상남도,밀양시,5,9,16,69,103,224,60,124,280,97,235,342
경상남도,사천시,3,9,12,249,105,84,258,127,82,424,276,107
경상남도,산청군,1,2,2,1,21,4,4,20,6,1,27,8
경상남도,양산시,13,27,35,334,501,278,305,477,385,1375,2187,814
경상남도,의령군,1,3,5,2,29,31,7,28,42,2,33,34
경상남도,진주시,6,8,14,20,81,123,34,80,139,21,123,228
경상남도,창녕군,4,2,8,92,8,39,73,6,59,595,10,84
경상남도,창원시 마산합포구,2,3,4,2,16,31,9,22,25,4,24,38
경상남도,창원시 마산회원구,1,4,5,4,73,30,11,55,23,5,124,45
경상남도,창원시 성산구,17,31,18,1208,1023,365,792,724,236,1831,3304,545
경상남도,창원시 의창구,4,3,6,266,69,40,287,35,33,466,138,164
경상남도,창원시 진해구,12,5,13,196,55,113,199,48,96,376,65,155
경상남도,통영시,5,1,0,41,4,0,48,5,0,97,1,0
경상남도,하동군,2,2,6,90,26,30,108,18,91,201,42,42
경상남도,함안군,16,8,34,148,117,215,181,122,194,445,132,452
경상남도,함양군,1,2,2,1,51,19,3,51,19,1,58,47
경상남도,합천군,0,0,2,0,0,13,0,0,13,0,0,13
경상북도,경산시,5,3,15,152,43,118,100,38,141,496,215,310
경상북도,경주시,11,6,27,365,39,245,333,50,277,1046,98,719
경상북도,고령군,4,24,38,37,241,280,44,243,272,171,346,496
경상북도,구미시,23,28,23,1664,726,320,1135,688,298,6399,2822,2885
경상북도,군위군,0,1,3,0,3,31,0,4,34,0,3,93
경상북도,김천시,9,7,14,363,116,183,351,94,146,1456,708,645
경상북도,문경시,1,0,2,2,0,14,3,0,18,2,0,17
경상북도,봉화군,1,1,3,456,3,15,179,5,20,658,6,21
경상북도,상주시,3,1,5,17,5,33,28,12,28,50,13,37
경상북도,성주군,2,0,3,21,0,20,23,0,20,117,0,26
경상북도,안동시,2,2,4,8,56,21,14,56,27,14,159,39
경상북도,영덕군,0,0,3,0,0,27,0,0,31,0,0,49
경상북도,영주시,3,2,5,112,59,55,109,54,45,227,162,74
경상북도,영천시,6,1,9,80,12,71,110,1,66,325,12,103
경상북도,예천군,0,1,2,0,8,35,0,4,24,0,18,69
경상북도,울릉군,1,0,2,1,0,7,2,0,7,1,0,7
경상북도,울진군,2,1,1,2,1,2,6,3,4,2,1,3
경상북도,의성군,1,0,0,1,0,0,3,0,0,1,0,0
경상북도,청도군,1,0,0,1,0,0,4,0,0,1,0,0
경상북도,칠곡군,5,7,8,33,115,51,48,104,56,439,399,292
경상북도,포항시 남구,40,25,30,2070,357,347,2013,292,365,7376,1024,752
경상북도,포항시 북구,3,7,9,60,198,60,95,220,61,508,2830,190
광주광역시,광산구,8,15,24,368,297,224,236,192,188,640,885,626
광주광역시,남구,2,0,0,5,0,0,16,0,0,14,0,0
광주광역시,동구,0,1,2,0,3,18,0,12,32,0,12,32
광주광역시,북구,2,3,2,53,86,10,46,62,7,111,516,11
광주광역시,서구,4,1,1,138,6,1,130,4,2,206,7,2
대구광역시,남구,0,0,2,0,0,3,0,0,1,0,0,6
대구광역시,달서구,4,10,17,67,158,119,112,139,187,89,718,307
대구광역시,달성군,14,20,15,461,428,324,489,313,214,2430,2005,1073
대구광역시,동구,1,0,0,3,0,0,4,0,0,3,0,0
대구광역시,북구,0,4,3,0,43,23,0,39,30,0,54,200
대구광역시,서구,2,1,15,16,12,68,31,15,91,22,45,127
대구광역시,수성구,0,0,1,0,0,3,0,0,3,0,0,3
대구광역시,중구,0,1,0,0,1,0,0,0,0,0,1,0
대전광역시,대덕구,8,16,15,238,207,148,284,228,161,650,661,656
대전광역시,유성구,3,7,8,22,60,121,34,101,157,33,499,293
대전광역시,중구,0,1,3,0,4,30,0,5,34,0,13,38
부산광역시,강서구,12,16,47,496,260,373,338,225,361,2728,632,859
부산광역시,금정구,1,2,1,54,38,3,77,48,8,418,135,17
부산광역시,기장군,1,2,10,3,30,115,6,33,118,4,40,186
부산광역시,남구,3,1,3,140,16,30,133,17,30,182,255,96
부산광역시,동구,0,0,2,0,0,45,0,0,59,0,0,317
부산광역시,동래구,0,0,1,0,0,4,0,0,3,0,0,7
부산광역시,부산진구,0,0,1,0,0,13,0,0,13,0,0,13
부산광역시,사상구,2,6,8,13,77,53,25,54,47,41,469,66
부산광역시,사하구,10,14,23,187,129,148,213,120,162,660,212,327
부산광역시,서구,0,1,0,0,7,0,0,19,0,0,19,0
부산광역시,수영구,0,0,1,0,0,1,0,0,5,0,0,5
부산광역시,연제구,0,0,1,0,0,11,0,0,11,0,0,11
부산광역시,영도구,0,1,0,0,4,0,0,6,0,0,5,0
부산광역시,해운대구,2,1,1,5,30,1,5,24,1,5,124,1
서울특별시,강남구,3,2,2,15,10,6,30,17,0,19,30,8
서울특별시,강동구,0,1,2,0,3,16,0,7,16,0,7,24
서울특별시,강서구,2,1,0,16,1,0,32,1,0,21,1,0
서울특별시,관악구,0,1,0,0,31,0,0,51,0,0,62,0
서울특별시,구로구,1,0,1,2,0,43,1,0,43,5,0,46
서울특별시,노원구,2,0,2,12,0,23,37,0,22,12,0,23
서울특별시,동대문구,0,0,1,0,0,1,0,0,4,0,0,5
서울특별시,동작구,0,0,1,0,0,2,0,0,0,0,0,8
서울특별시,마포구,4,0,0,16,0,0,33,0,0,20,0,0
서울특별시,서대문구,0,1,1,0,5,22,0,21,64,0,21,73
서울특별시,서초구,0,1,1,0,3,1,0,2,2,0,3,2
서울특별시,성동구,1,0,2,4,0,30,19,0,59,11,0,64
서울특별시,성북구,0,0,1,0,0,1,0,0,5,0,0,5
서울특별시,송파구,1,3,0,3,17,0,3,20,0,3,31,0
서울특별시,양천구,2,0,0,6,0,0,14,0,0,11,0,0
서울특별시,영등포구,0,1,1,0,6,3,0,19,0,0,19,3
서울특별시,용산구,0,0,1,0,0,4,0,0,8,0,0,8
서울특별시,은평구,1,0,0,1,0,0,3,0,0,1,0,0
서울특별시,종로구,0,1,2,0,8,7,0,16,23,0,18,23
서울특별시,중구,0,0,2,0,0,6,0,0,0,0,0,32
세종특별자치시,세종시,14,11,11,199,425,111,187,543,128,716,2108,438
울산광역시,남구,65,11,21,3123,314,310,2476,282,344,10370,916,1833
울산광역시,동구,7,1,1,685,12,23,794,19,19,3521,19,45
울산광역시,북구,1,2,3,1224,16,12,508,10,13,1346,29,17
울산광역시,울주군,32,24,37,1997,568,397,1738,265,415,7000,1301,913
인천광역시,강화군,0,1,1,0,9,2,0,7,4,0,31,7
인천광역시,계양구,0,0,1,0,0,6,0,0,16,0,0,13
인천광역시,남동구,7,10,27,53,88,239,72,87,211,128,466,682
인천광역시,동구,3,1,4,121,21,119,124,22,25,194,45,137
인천광역시,미추홀구,3,2,3,46,26,38,58,9,47,144,31,155
인천광역시,부평구,3,0,3,177,0,11,192,0,11,229,0,176
인천광역시,서구,36,14,18,655,190,108,620,176,118,1075,1001,432
인천광역시,연수구,6,1,2,134,5,65,96,0,5,659,5,168
인천광역시,옹진군,2,4,2,123,9,4,139,12,5,141,12,4
인천광역시,중구,14,4,3,397,129,37,480,138,27,1718,290,47
전라남도,강진군,1,1,1,1,5,4,3,6,5,1,5,4
전라남도,고흥군,2,0,2,2,0,4,6,0,6,2,0,11
전라남도,곡성군,1,0,1,142,0,3,68,0,4,142,0,5
전라남도,광양시,28,8,10,1648,59,61,1495,81,88,5790,169,756
전라남도,구례군,1,0,0,3,0,0,5,0,0,3,0,0
전라남도,나주시,4,2,8,225,9,49,240,8,66,690,7,157
전라남도,담양군,2,1,3,5,3,20,10,4,18,7,4,26
전라남도,목포시,0,2,1,0,4,8,0,12,8,0,11,9
